name,rating,genre,release_date,actor,overview
Trolls Band Together,71.81,"Animation, Family, Music, Fantasy, Comedy",2023,Anna Kendrick,"
When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.
"
Leo,75.0,"Animation, Comedy, Family",2023,Adam Sandler,"
Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.
"
Oppenheimer,81.46000000000001,"Drama, History",2023,Cillian Murphy,"
The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.
"
Reign of Chaos,57.08,"Horror, Fantasy",2022,Rebecca Finch,"
When the world is gripped by a plague unleashed by the evil lord Chaos, and humans are turned into rabid creatures, mankind can only be saved by three young women, descendants of a Goddess, with the power to stop Chaos' evil.
"
Freelance,64.36,"Action, Comedy",2023,John Cena,"
An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.
"
Five Nights at Freddy's,78.41,"Horror, Mystery",2023,Josh Hutcherson,"
Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.
"
The Creator,71.32,"Science Fiction, Action, Thriller",2023,John David Washington,"
Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.
"
Come Out Fighting,47.0,"War, Drama, Action",2023,Dolph Lundgren,"
In WWII, a squad of U.S. African-American soldiers are sent on a rescue mission behind enemy lines to locate their lost commanding officer and a downed fighter pilot.
"
Family Switch,63.49,"Comedy, Fantasy, Family, Crime",2023,Jennifer Garner,"
When the Walker family members switch bodies with each other during a rare planetary alignment, their hilarious journey to find their way back to normal will bring them closer together than they ever thought possible.
"
Expend4bles,64.33,"Action, Adventure, Thriller",2023,Sylvester Stallone,"
Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.
"
